id,title,plot
1388,Bob the Builder: Bob's Big Plan,"Every big project, every big adventure, begins with a big plan! Bob the Builder is about to take on his biggest project ever in theall- new series Bob the Builder Project: Build It --- he's building a whole new town from the ground up! Before he breaks ground, find out how it all began in Bob's Big Plan, the story behind the new series, plus see the first two episodes in the new series: Bob'sFresh Start and Lofty's Shelter! It's the blueprint for the building job unlike any other! Can they build it?"
1389,Short Diversity 5,A compilation of Short Films that includes Vin Diesel's short film Multi-facial the short film that caught the eye of Steven Spielberg before having him written into Saving Private Ryan 1 month before the film began shooting. Also includes rare Vin Diesel compelling interview.::Anonymous
1390,Bonus Material,A director is killed by a giant worm while filming bonus material for his DVD.
1391,The Naked Gun 2½: The Smell of Fear,Lieutenant Frank Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.
1392,Ferocious Planet,"A groundbreaking device is designed to glimpse alternate universes. But when the machine malfunctions and transports a group of observers into a nightmarish dimension of alien terrors, the travelers must use ingenuity to survive."
1393,The Life of Mammals,David Attenborough's comprehensive study of how a remarkable group of animals evolved - a group that includes ourselves.
1394,Tenchi Muyo!,Every man needs a good woman. Tenchi Masaki has six.
1395,Laffapalooza,"Jamie Foxx hosts today's hottest and freshest comedians. Originally seen on showtime, Laffapalooza is the country's longest running and most outrageous urban comedy festival."
1396,Swordsman III: The East Is Red,"A royal official accompanies a Portuguese warship to the Black Cliffs to see the site of the defeat of the evil Invincible Asia, who attained supernatural abilities by following the sacred scroll and castrating himself. The official discovers that the Portuguese are actually after the sacred scroll, and then finds Invincible Asia him/herself, who is not actually dead. Invincible Asia seeks to destroy all the imposters or 'false Invincible Asias' who have assumed his/her place leading cults, whilst the Portuguese, a mysterious Japanese warlord and others search for Invincible Asia and the Sacred Scroll.::Brian Rawnsley <rawnsleb@natlib.govt.nz>"
1397,The Beatles Celebration,"Never before seen interviews, footage and ultra-rare photographs of the Fab Four and some of their most intimate confidants and collaborators."
1398,The Saddest Music in the World,"A musical of sorts set in Winnipeg during the Great Depression, where a beer baroness organizes a contest to find the saddest music in the world. Musicians from around the world descend on the city to try and win the $25,000 prize."
1399,The Holcroft Covenant,The son of a German General becomes part of a mysterious conspiracy to gain hidden Nazi funds.
1400,Mujhe Kucch Kehna Hai,"Karan, a small time musician, tries to win over a girl named Pooja."
1401,Callas Forever,The last days of legendary opera singer Maria Callas.
1402,Cirque du Soleil: Varekai,"The Cirque du Soleil creation telling the story of Icarus, whose wings melt when he flies to close to the run, sending him crashing into the volcanic and mysterious world of Varekai."
1403,NieA under 7,"A poor Earth girl and NieA, a hotheaded alien girl of low class (""under 7""), bond in a world where aliens are part of every day society."
1404,Where Angels Go Trouble Follows!,An old-line Mother Superior is challenged by a modern young nun when they take the girls of St. Francis Academy on a bus trip across the United States.
1405,Yes: Live in Philadelphia 1979,
1406,The Cat in the Hat,Two bored children have their lives turned upside down when a talking cat comes to visit them.
1407,SD Gundam Force,A Gundam series with super deformed robots.
1408,Inhabited,"A family dismisses their daughter's claims of ""fairies"" living in the playhouse in their new home's backyard, until they discover another girl described the same beings in their home, decades before."
1409,s-CRY-ed,"On a ruined island section of Japan in which a portion of the inhabitants are gifted with special matter-controlling abilities, a cocky, brash native of the wasteland area fights for independence from the city sector's corrupt police force.::Anonymous"
1410,Johnny Cash: Live at Montreux 1994,"The late Johnny Cash was one of the most influential figures in American music in the post war period. He managed to combine elements of folk, rock 'n' roll and country, which together with his distinctive voice and guitar style, created an instantly recognisable sound. From his wild early days, fuelled by drink and drugs, through to his later years as a living legend and one of music's elder statesmen he was always a dominant figure. 1994 was to prove to be Cash's only appearance at the Montreux Festival. The ""Man In Black"" had just released his acclaimed American Recordings album and his European tour took in Montreux on July 5. This classic concert features a number of tracks from his new album coupled with favourites from across his career including Folsom Prison Blues, I Walk The Line, Ghost Riders In The Sky, Orange Blossom Special and San Quentin. An added bonus is the guest appearance of his wife June Carter Cash on two tracks. Caught at one of the high points of his distinguished career this is truly Johnny Cash at his best."
1411,Aandhi,"J.K. is a hotel Manager in a scenic location in India. One day he gallantly comes to the rescue of a drunk daughter, Aarti, of a politician, and chooses to be discrete about it. When she recovers, she and he fall in love; get married in a small marriage ceremony, have a daughter, and thereafter differences arise to such an extent that they decide to separate. Years pass J.K. and Aarti meet again when she is an established politician, both are still attracted to each other, but she does not want her name to be tarnished and stigmatized as a ""separated"" woman. Songs including ""Is mod se jaatey hai""; ""Tere bina zindagi Se shikva toh nahin;"" and ""Tum aa gaye ho"" noor aa gaya hai"" sung by Kishore Kumar and Lata Mangeshkar.::rAjOo (gunwanti@hotmail.com)"
1412,Bob the Builder: Teamwork Time,"When Scrambler fails to build a tree house on his own, he finds it takes a team to get a project off the ground. Hold on to your hard hats & see why the best plans start with teamwork!"
1413,The Curse of Frankenstein,"While awaiting execution for murder, Baron Victor Frankenstein tells the story of a creature he built and brought to life - only for it to behave not as he intended."
1414,The X-Files Season 10 Review,Chris Stuckmann reviews the tenth season of The X Files (1993).
1415,Life of Buddha,
1416,Ridin' the Rails: The Great American Train Story,"Johnny Cash guides us through the history of the great American railways, while performing some of his most famous train-related songs."
